date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:44	14225/14225	---M--	200	added ('OK')	application/octet-stream	etag:%2217de93fba65281aea083982145594162%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487871968.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487871968.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:45	25952/25952	---M--	200	added ('OK')	application/octet-stream	etag:%221b18097685a1a1110ee0e1186b448a02%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487871969.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487871969.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:46	20380/20380	---M--	200	added ('OK')	application/octet-stream	etag:%226a5f1fdc21d36adf4f9f16fadfb1e024%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487898436.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487898436.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:49	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Jul%202021%2016:41:47%20GMT	http://mycrd.in/	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/index.html	(from https://mycrd.in/new-tiruppur-traders)
22:11:49	1909/1909	---M--	200	added ('OK')	image/svg+xml	etag:W/%22775-17ab812132a%22	https://mycrd.in/templates/template1/tild-arrow.svg	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/templates/template1/tild-arrow.svg	(from https://mycrd.in/new-tiruppur-traders)
22:11:49	123270/123270	---M--	200	added ('OK')	application/octet-stream	etag:%22d83aee00412189de33e47c27d677e2ef%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487970597.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599487970597.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:49	29313/29313	---M-Z	200	added ('OK')	application/javascript	etag:%225ed26414-7281%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/js/intlTelInput.min.js	/home/sankarmoorthy/websites/PANDIANREALESTATES/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/js/intlTelInput.min.js	(from https://mycrd.in/new-tiruppur-traders)
22:11:51	242870/242870	---M-Z	200	added ('OK')	application/javascript	etag:%225ed26416-3b4b6%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/js/utils.min.js	/home/sankarmoorthy/websites/PANDIANREALESTATES/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/js/utils.min.js	(from https://mycrd.in/new-tiruppur-traders)
22:11:51	11713/11713	---M--	200	added ('OK')	application/javascript	etag:W/%222dc1-17ab8121386%22	https://mycrd.in/templates/common/js/star-rating.js	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/templates/common/js/star-rating.js	(from https://mycrd.in/new-tiruppur-traders)
22:11:52	12528/12528	---M--	200	added ('OK')	application/javascript	etag:W/%2230f0-17ab8121386%22	https://mycrd.in/templates/common/js/script.1.js	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/templates/common/js/script.1.js	(from https://mycrd.in/new-tiruppur-traders)
